评论人数,商品链接,价格,商店链接,商店名称,标题
20万+,//item.jd.com/100037311057.html,1299.00,//mall.jd.com/index-1000004065.html?from=pc,OPPO京东自营官方旗舰店,OPPO K10x 极光 8GB+128GB 67W超级闪充 5000mAh长续航 120Hz高帧屏 6400万三摄 高通骁龙695 拍照 5G
2万+,//item.jd.com/100047612060.html,999.00,//mall.jd.com/index-1000000904.html?from=pc,荣耀京东自营旗舰店,荣耀Play7T 6000mAh 长续航 8.27mm轻薄机身 6.74英寸高刷护眼屏 5G
50万+,//item.jd.com/100031192618.html,1199.00,//mall.jd.com/index-1000004065.html?from=pc,OPPO京东自营官方旗舰店,OPPO K9x 8GB+128GB 银紫超梦 天玑810 5000mAh长续航 33W快充 90Hz电竞屏 6400万三摄 拍照5G
20万+,//item.jd.com/100034322068.html,749.00,//mall.jd.com/index-1000004065.html?from=pc,OPPO京东自营官方旗舰店,OPPO A36 6GB+128GB 云雾黑 高通骁龙680 5000mAh长续航 90Hz护眼炫彩屏 大内存游戏拍照
100万+,//item.jd.com/100028235472.html,899.00,//mall.jd.com/index-1000004123.html?from=pc,小米京东自营旗舰店,Redmi Note 11 5G 天玑810 33W Pro快充 5000mAh大电池  6GB +128GB 浅梦星河 智能
20万+,//item.jd.com/100048276065.html,2098.00,//mall.jd.com/index-1000000904.html?from=pc,荣耀京东自营旗舰店,荣耀80 1.6亿像素超清主摄 AI Vlog视频大师 全新Magic OS 7.0系统 5G
20万+,//item.jd.com/100038222779.html,1299.00,//mall.jd.com/index-1000000904.html?from=pc,荣耀京东自营旗舰店,荣耀X40 120Hz OLED硬核曲屏 5100mAh 快充大电池 7.9mm轻薄设计 5G
20万+,//item.jd.com/100022199561.html,1599.00,//mall.jd.com/index-1000001947.html?from=pc,一加手机京东自营官方旗舰店,"	
OPPO 一加 Ace 竞速版 12GB+256GB竞技灰享OPPO官方售后 天玑8100-MAX 120Hz变速电竞直屏游戏稳帧引擎5G"
10万+,//item.jd.com/100049728367.html,949.00,//mall.jd.com/index-1000004259.html?from=pc,华为京东自营官方旗舰店,华为畅享 50z 5000万高清AI三摄 5000mAh超能续航 128GB 宝石蓝 大内存鸿蒙智能
2万+,//item.jd.com/100045503722.html,1499.00,//mall.jd.com/index-1000310642.html?from=pc,iQOO京东自营官方旗舰店,vivo iQOO Z7x 8GB+256GB 深空黑 80W闪充 6000mAh巨量电池 骁龙695 120Hz竞速屏 5G
10万+,//item.jd.com/100048172469.html,1569.00,//mall.jd.com/index-1000310642.html?from=pc,iQOO京东自营官方旗舰店,vivo iQOO Neo7 SE 8GB+256GB 银河  天玑8200 120W超快闪充 120Hz柔性直屏 5G游戏电竞性能
5万+,//item.jd.com/100054158861.html,2599.00,//mall.jd.com/index-1000164941.html?from=pc,真我realme京东自营旗舰店,realme真我GT Neo5 150W光速秒充 觉醒光环系统 144Hz 1.5K直屏 骁龙8+ 5G芯 16GB+512GB 圣境白 5G
20万+,//item.jd.com/100052892476.html,2499.00,//mall.jd.com/index-1000004123.html?from=pc,小米京东自营旗舰店,Redmi K60 骁龙8+处理器 2K高光屏 6400万超清相机 5500mAh长续航 16GB+256GB 墨羽 小米红米5G
